v,h
5.141649,46m
4.889281,46m
4.515815,46m
4.44328,46m
4.148715,46m
3.911513,46m
3.748739,46m
3.497648,46m
3.163963,46m
2.852953,46m
2.634054,46m
2.659915,46m
2.487067,46m
2.406323,46m
2.190586,46m
1.889039,46m
1.822168,46m
1.427276,46m
1.092942,46m
0.8835015,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
0.3699986,46m
1.506126,46m
1.689695,46m
1.577406,46m
1.37681,46m
1.29922,46m
1.48279,46m
1.287235,46m
1.477738,46m
1.836677,46m
2.206979,46m
2.14894,46m
2.911,46m
3.12421,46m
3.165216,46m
3.160167,46m
3.218213,46m
2.968398,46m
3.244708,46m
3.223875,46m
3.622583,46m
4.262861,46m
4.397232,46m
4.355613,46m
4.160686,46m
4.025691,46m
3.013182,46m
3.059233,46m
2.760846,46m
2.359012,46m
3.040299,46m
2.820781,46m
2.26376,46m
1.885888,46m
1.336435,46m
0.4583136,46m
0.3901854,46m
1.588139,46m
2.464359,46m
1.631033,46m
2.538804,46m
2.913514,46m
2.385506,46m
2.207621,46m
1.96979,46m
0.9162996,46m
1.41655,46m
1.765397,46m
2.299719,46m
2.789871,46m
3.360139,46m
4.563761,46m
3.936731,46m
3.120439,46m
2.832771,46m
2.859261,46m
2.96524,46m
2.820156,46m
3.055455,46m
2.488961,46m
2.685154,46m
2.185532,46m
1.676451,46m
1.077795,46m
2.795548,46m
3.659161,46m
3.757575,46m
3.021389,46m
3.348791,46m
4.6767,46m
4.619927,46m
4.547382,46m
3.698902,46m
3.346266,46m
5.483539,46m
7.210136,46m
7.217708,46m
6.072112,46m
5.483541,46m
6.144029,46m
6.875164,46m
6.075264,46m
5.732094,46m
5.419826,46m
5.445056,46m
6.340216,46m
6.130146,46m
6.892828,46m
6.231713,46m
5.793911,46m
5.563661,46m
4.78395,46m
5.886011,46m
9.366323,46m
6.109336,46m
3.073744,46m
2.91036,46m
3.560751,46m
5.731464,46m
5.988838,46m
6.407719,46m
6.558489,46m
7.439755,46m
7.697131,46m
7.293402,46m
8.437093,46m
9.734095,46m
9.407947,46m
10.19901,46m
8.054178,46m
7.4713,46m
7.143269,46m
7.241038,46m
6.05886,46m
5.759844,46m
7.278891,46m
9.708859,46m
9.742928,46m
9.252758,46m
7.728682,46m
8.292007,46m
8.686909,46m
10.27913,46m
7.041699,46m
6.34905,46m
6.919321,46m
6.523786,46m
7.257447,46m
6.680238,46m
5.856364,46m
5.750384,46m
6.144659,46m
6.080939,46m
5.918182,46m
5.566183,46m
6.224769,46m
6.219724,46m
4.570092,46m
4.134813,46m
4.14428,46m
3.655373,46m
3.885545,46m
4.318388,46m
4.276754,46m
4.374533,46m
4.418692,46m
4.26098,46m
4.983918,46m
4.947963,46m
5.705593,46m
6.258205,46m
6.716827,46m
6.990608,46m
7.219597,46m
7.95073,46m
9.305136,46m
7.934325,46m
8.171519,46m
7.10163,46m
6.269563,46m
7.179223,46m
6.813338,46m
6.209631,46m
6.57047,46m
7.222116,46m
6.856239,46m
7.069457,46m
6.776754,46m
7.060623,46m
7.307283,46m
7.449221,46m
7.452372,46m
7.36658,46m
7.598725,46m
7.442283,46m
8.286963,46m
8.738639,46m
8.06302,46m
8.179722,46m
9.335408,46m
9.382084,46m
9.336663,46m
9.244564,46m
9.844489,46m
9.552413,46m
9.712011,46m
9.971917,46m
9.64325,46m
10.40971,46m
10.93646,46m
10.39899,46m
10.05455,46m
11.06577,46m
12.25805,46m
11.4449,46m
11.03235,46m
10.61536,46m
10.81282,46m
9.918925,46m
9.925231,46m
10.39016,46m
11.17807,46m
12.89898,46m
12.32303,46m
12.74379,46m
10.93394,46m
10.47279,46m
10.2867,46m
10.93772,46m
11.13896,46m
11.42724,46m
10.53146,46m
9.397234,46m
10.11007,46m
9.87098,46m
10.95096,46m
10.9434,46m
10.14918,46m
9.626226,46m
9.681723,46m
9.274217,46m
7.81321,46m
8.785322,46m
8.758194,46m
7.642884,46m
7.348281,46m
8.695742,46m
10.24948,46m
8.955636,46m
8.212531,46m
7.255552,46m
6.297951,46m
5.652606,46m
5.351066,46m
5.410366,46m
5.891062,46m
6.126988,46m
6.635447,46m
6.955911,46m
8.528565,46m
9.007366,46m
8.012551,46m
9.047735,46m
9.554938,46m
10.07411,46m
